policyParams0,policyParams1,policyParams2,policyParams3,policyParams4
"[ 0.14115528  0.05037573 -0.04434142 ...,  0.34151491  0.          0.        ]","[-0.15622795  0.2340608  -0.05337624 ..., -0.41417694  0.          0.        ]","[-0.0660178   0.18746959 -0.08449283 ...,  0.35437688  0.          0.        ]","[-0.07149666  0.22075691  0.13949168 ...,  0.36856083  0.          0.        ]","[ 0.16792468 -0.20833804 -0.17445442 ..., -0.23917967  0.          0.        ]"
"[ 0.14015528  0.05137573 -0.04334142 ...,  0.34051491  0.00099999  0.001     ]","[-0.15722795  0.2330608  -0.05437623 ..., -0.41317694  0.001       0.001     ]","[-0.06701779  0.18646959 -0.08349283 ...,  0.35337688  0.001      -0.001     ]","[-0.07249666  0.21975691  0.14049168 ...,  0.36956083 -0.001      -0.001     ]","[ 0.16692468 -0.20733804 -0.17545442 ..., -0.23817967 -0.001      -0.001     ]"
"[  1.36155285e-01   5.63757246e-02  -3.83414251e-02 ...,   3.39514906e-01
  -4.08229072e-09   3.99999981e-03]","[ -1.61227948e-01   2.34060826e-01  -5.83762340e-02 ...,  -4.10176946e-01
  -7.96683114e-11  -1.43751870e-10]","[-0.06851779  0.18496959 -0.08199283 ...,  0.35287688  0.0005     -0.0025    ]","[-0.07749666  0.21475691  0.14549168 ...,  0.37456083 -0.003      -0.004     ]","[ 0.16192469 -0.20233804 -0.17945441 ..., -0.23917967 -0.002      -0.004     ]"
"[ 0.13565529  0.05687572 -0.03784143 ...,  0.34001491  0.0005      0.0035    ]","[-0.16522795  0.23806082 -0.06237623 ..., -0.41217695  0.001      -0.001     ]","[ -7.20177924e-02   1.81469598e-01  -7.84928268e-02 ...,   3.54376875e-01
  -2.24479124e-10  -3.00000090e-03]","[-0.07799666  0.21425691  0.14599168 ...,  0.37506083 -0.0035     -0.0035    ]","[ 0.16092469 -0.20133804 -0.17945442 ..., -0.24017967 -0.002      -0.004     ]"
"[ 0.13615533  0.06237572 -0.03334142 ...,  0.34551491  0.001      -0.002     ]","[-0.16672795  0.23956082 -0.06387623 ..., -0.41367696 -0.0005     -0.0015    ]","[-0.07501779  0.1804696  -0.07549283 ...,  0.35937687 -0.001      -0.005     ]","[-0.07899665  0.21425691  0.14699168 ...,  0.37906083 -0.0005     -0.0055    ]","[ 0.15942469 -0.19983804 -0.17995442 ..., -0.24467967 -0.0015     -0.0085    ]"
"[ 0.13465533  0.06287572 -0.03284142 ...,  0.34801491  0.0005     -0.0055    ]","[ -1.68227946e-01   2.41060822e-01  -6.53762331e-02 ...,  -4.16176960e-01
  -9.44177709e-11  -4.00000012e-03]","[-0.07501779  0.1814696  -0.07549283 ...,  0.36037687 -0.001      -0.005     ]","[-0.07749665  0.2157569   0.14549168 ...,  0.38156083  0.001      -0.007     ]","[  1.57924695e-01  -1.98338041e-01  -1.78454416e-01 ...,  -2.46179671e-01
  -2.94034005e-09  -9.99999990e-03]"
"[ 0.13715533  0.06537572 -0.03034142 ...,  0.35051491 -0.001      -0.008     ]","[-0.16972795  0.24256082 -0.06587623 ..., -0.41767696 -0.0005     -0.0055    ]","[-0.07301779  0.1804696  -0.07749283 ...,  0.36437687  0.001      -0.005     ]","[-0.07949665  0.2137569   0.14749168 ...,  0.38556083 -0.001      -0.009     ]","[ 0.15392469 -0.19433804 -0.17445442 ..., -0.25117967  0.002      -0.014     ]"
"[ 0.13815533  0.06737572 -0.02734142 ...,  0.35351491 -0.002      -0.012     ]","[-0.16622795  0.23906082 -0.06237623 ..., -0.42217696  0.001      -0.009     ]","[-0.07501779  0.1844696  -0.07549283 ...,  0.36737687  0.002      -0.007     ]","[-0.07949665  0.2137569   0.14749168 ...,  0.38556083 -0.001      -0.01      ]","[ 0.15492469 -0.19533804 -0.17445442 ..., -0.25217967  0.001      -0.015     ]"
"[ 0.13715533  0.06737572 -0.02734142 ...,  0.35351491  0.001      -0.015     ]","[-0.16522795  0.24006082 -0.06337623 ..., -0.42617696  0.001      -0.013     ]","[-0.07501779  0.1824696  -0.07549283 ...,  0.37037687  0.005      -0.008     ]","[-0.07849665  0.2147569   0.14649168 ...,  0.38756083 -0.001      -0.01      ]","[ 0.15292469 -0.19333804 -0.17245442 ..., -0.25617967  0.002      -0.018     ]"
"[ 0.13715533  0.06837572 -0.02634142 ...,  0.35451491  0.001      -0.017     ]","[-0.16472795  0.23856082 -0.06187623 ..., -0.42767696 -0.0005     -0.0135    ]","[-0.07451779  0.1819696  -0.07599283 ...,  0.37087687  0.0045     -0.0085    ]","[ -7.64966519e-02   2.16756897e-01   1.44491680e-01 ...,   3.90560831e-01
   1.15841810e-10  -1.29999952e-02]","[ 0.15392469 -0.19433804 -0.17345442 ..., -0.25817967  0.001      -0.02      ]"
"[ 0.13715533  0.07037572 -0.02534142 ...,  0.35651491  0.002      -0.017     ]","[-0.16322795  0.23706082 -0.06037623 ..., -0.43017696 -0.002      -0.016     ]","[-0.07451779  0.1819696  -0.07599283 ...,  0.37487687  0.0025     -0.0095    ]","[-0.07649665  0.2167569   0.14449168 ...,  0.39056083  0.001      -0.014     ]","[ 0.15242469 -0.19283804 -0.17295442 ..., -0.26267967  0.0005     -0.0215    ]"
"[ 0.13715533  0.07237572 -0.02434142 ...,  0.35451491 -0.001      -0.019     ]","[ -1.62227946e-01   2.36060822e-01  -5.93762333e-02 ...,  -4.32176959e-01
  -9.13800391e-11  -1.70000001e-02]","[-0.07401779  0.1814696  -0.07649283 ...,  0.37637687  0.003      -0.011     ]","[-0.07649665  0.2167569   0.14449168 ...,  0.39056083  0.001      -0.017     ]","[ 0.15392469 -0.19433804 -0.17445442 ..., -0.26217967  0.002      -0.02      ]"
"[ 0.13615533  0.07337572 -0.02634142 ...,  0.35651491  0.00199999 -0.022     ]","[-0.16222795  0.23606082 -0.05937623 ..., -0.43317696 -0.002      -0.018     ]","[-0.07251779  0.1819696  -0.07799283 ...,  0.37787687  0.0035     -0.0115    ]","[-0.07449665  0.2187569   0.14249168 ...,  0.39056083 -0.002      -0.02      ]","[ 0.15292469 -0.19333804 -0.17645442 ..., -0.26017967  0.002      -0.023     ]"
"[ 0.13715533  0.07737572 -0.02534142 ...,  0.35651491  0.00299999 -0.022     ]","[-0.16122795  0.23606082 -0.05937623 ..., -0.43517696 -0.001      -0.02      ]","[-0.07151779  0.1809696  -0.07899283 ...,  0.37787687  0.0035     -0.0115    ]","[-0.07499665  0.2182569   0.14299168 ...,  0.39106083 -0.0015     -0.0205    ]","[ 0.15292469 -0.19333804 -0.17945442 ..., -0.25917967  0.003      -0.024     ]"
"[ 0.13765533  0.07887572 -0.02384142 ...,  0.3570149   0.00349999 -0.0235    ]","[-0.16022795  0.23506082 -0.05837623 ..., -0.43617696 -0.001      -0.02      ]","[-0.07301779  0.1824696  -0.07749283 ...,  0.37937687  0.004      -0.013     ]","[-0.07349665  0.2187569   0.14149168 ...,  0.38956083 -0.003      -0.025     ]","[ 0.15392469 -0.19433804 -0.18045442 ..., -0.26017967  0.002      -0.025     ]"
"[ 0.13715533  0.07837572 -0.02434142 ...,  0.35551491  0.00299999 -0.025     ]","[-0.16122795  0.23606082 -0.05937623 ..., -0.43917696  0.003      -0.024     ]","[-0.07101779  0.1804696  -0.07949283 ...,  0.38037687  0.005      -0.016     ]","[-0.07349665  0.2187569   0.14149168 ...,  0.38956083 -0.003      -0.025     ]","[  1.52924695e-01  -1.93338045e-01  -1.77454417e-01 ...,  -2.63179671e-01
  -3.09245895e-09  -2.79999999e-02]"
