rewardsSnapshot0,rewardsSnapshot1,rewardsSnapshot2
"[-197.8056007  -238.94916445 -212.56188775 -113.10720607 -158.47585294
 -197.8056007  -238.94916445 -212.56188775 -238.94916445 -212.56188775
 -212.56188775 -113.10720607 -238.94916445 -238.94916445 -212.56188775
 -238.94916445 -212.56188775 -212.56188775 -113.10720607]","[-139.56356599 -255.27351855  196.86954969 -243.93122663 -333.52881099
  -75.99155566 -284.19559453 -428.52336333 -281.16085451 -178.42930538
 -161.1581722   -50.45868617 -161.1581722   -50.45868617 -161.1581722
 -290.21084506 -281.16085451 -178.42930538]","[-322.54234572 -462.45475059 -508.31359602 -282.63654884 -334.98126896
 -197.35190142 -290.34373564 -577.13554342 -166.24638784 -222.41927628
 -271.59475293 -479.40471016 -301.77766684 -214.36476454 -138.36883853
 -290.34373564 -322.54234572 -462.45475059 -387.16469149]"
"[-209.47447053 -157.6262525  -157.6262525  -496.32606722 -209.47447053
 -157.6262525  -157.6262525  -496.32606722 -496.32606722 -163.14340033
 -496.32606722 -163.14340033 -157.6262525  -496.32606722 -157.6262525
 -496.32606722 -496.32606722 -163.14340033 -325.28232156]","[-139.99101465 -168.33637613  -67.66283925 -137.36714686 -216.3477326
 -200.95042455   33.64073368 -252.84502558 -142.01027717  -69.1434506
 -167.01753304 -137.36714686 -227.97466675 -216.3477326  -200.95042455
 -137.36714686 -227.97466675 -348.92866084 -174.16791409]","[-303.98771067 -248.75721149 -412.3278952  -242.61890781 -231.96513367
 -201.8907972  -412.3278952  -242.61890781 -264.82995794 -334.10887752
 -216.21931256 -107.87038433 -185.14417861 -131.69838308 -209.81022375
 -334.10887752 -491.40903894  -61.96994764 -296.90161151]"
"[-342.74885517 -263.59489245  -88.03552446 -274.89060698 -127.49540713
  -88.03552446 -274.89060698 -324.00524139 -274.89060698 -324.00524139
 -274.89060698 -324.00524139  -88.03552446 -274.89060698  -88.03552446
 -274.89060698 -127.49540713  -88.03552446 -274.89060698]","[-192.40703978 -110.31665335    8.64628139 -173.82026571  -65.27103188
 -189.74619953 -137.23895099 -158.39953046 -389.27763452 -286.93930892
 -137.23895099 -106.29636173 -140.99746833 -167.40356857 -223.11325146
 -137.23895099 -158.39953046 -167.40356857 -223.11325146]","[-304.38189572 -157.996181   -409.88616773 -248.77234826 -117.48866211
 -263.46434605 -435.74516568 -251.76741488 -382.23597    -271.04504367
 -182.14723456 -261.53279864 -240.52100907 -271.04504367 -182.14723456
 -572.01980305 -261.53279864 -364.07639507 -418.61410176]"
"[-127.90154796 -259.54292441 -211.18151354 -542.44781145 -542.44781145
 -414.47109367 -211.18151354 -542.44781145 -542.44781145 -414.47109367
 -211.18151354 -259.54292441 -211.18151354 -211.18151354 -542.44781145
 -175.92442507 -127.90154796 -542.44781145 -414.47109367]","[  1.01797620e+01   2.09020184e+01   6.44621296e+01  -2.31424977e+02
  -7.48894472e+01  -3.60861488e+02  -3.31622739e-02  -3.24755579e+02
  -2.80453175e+02  -2.33029480e+02  -9.78875790e+01  -3.23939975e+02
  -3.09341269e+02  -7.48894472e+01  -7.48894472e+01  -3.60861488e+02
  -1.62975538e+02  -1.62975538e+02  -3.46426216e+01]","[-318.18373861 -148.61494634 -351.17121875 -237.02718201 -188.51809375
 -126.57051331 -177.98724416 -299.68988089 -488.97232795 -177.98724416
 -231.2228091  -148.61494634 -351.17121875 -245.25657055 -243.9744192
 -163.72228651  -94.55093191 -239.98150404 -487.40765968]"
"[-289.11318957 -229.26512292 -112.67332841 -265.77069142 -289.11318957
 -229.26512292 -112.67332841 -229.26512292 -112.67332841 -112.67332841
 -265.77069142 -291.52617893  -72.25138578  -72.25138578 -289.11318957
 -112.67332841 -265.77069142 -229.26512292 -112.67332841]","[-107.77193046  -34.66701608 -446.39159116 -365.49070849 -179.74512936
 -231.52563187 -365.49070849 -323.60237777 -227.30719485 -265.47338419
  -34.66701608  -49.73603485 -365.49070849 -323.60237777   24.32743974
 -308.12362006    8.68241336 -209.17981364   37.44976985]","[-380.03642586 -183.53874428 -153.03465419 -214.44789398 -341.76673284
 -349.10047627 -212.99773902 -123.19972151 -191.74655449 -201.53310545
 -191.74655449 -201.53310545 -123.19972151 -341.00981463 -405.83398028
 -160.88912641 -320.68677209 -307.95252916 -138.13865573]"
"[-382.73366732 -229.95970299 -229.95970299 -263.83328092  -45.24860433
 -113.68109574 -199.81672221 -382.73366732  -45.24860433 -113.68109574
 -263.83328092  -45.24860433 -263.83328092  -45.24860433  -45.24860433
 -113.68109574 -263.83328092  -45.24860433 -382.73366732]","[  13.08217051 -119.37171069   13.08217051 -119.37171069 -250.41521407
   13.08217051   28.69982223 -106.02891677   -1.24696674 -333.54399254
 -221.12041422 -131.13402198 -329.43085055 -177.87279635 -176.61231098
 -104.45681408 -129.47509957 -104.45681408  -40.5145423 ]","[-376.4064249  -167.40405479 -112.48556789 -360.46625116 -118.20895827
  -61.63307956 -166.59150422 -233.8930105  -473.5039335  -181.03236394
 -465.27916111 -302.95126993 -302.95126993 -191.68686012 -237.72906815
  -88.2753297  -473.5039335  -181.03236394 -289.48561662]"
"[-107.67237    -226.86623762 -181.3523522  -225.34277136 -225.34277136
 -293.89624024 -225.34277136 -293.89624024 -293.89624024 -124.32814455
 -225.34277136 -293.89624024 -293.89624024 -124.32814455 -226.86623762
 -181.3523522  -107.67237    -293.89624024 -124.32814455]","[ -71.47525162  -91.72424063  -82.57825828 -448.09012126 -235.42668096
   96.13229002  107.37541863  110.80432561   21.17998692   30.59022241
   22.20483919 -145.10019884 -216.65572738 -204.67231359   74.52621842
 -216.65572738 -216.65572738 -204.67231359   30.59022241]","[-363.87149727 -135.45192316 -256.37128995 -197.59684474 -192.38108864
 -439.04383447 -222.33755429 -281.52737337 -281.52737337 -149.65139068
 -366.08320316 -463.05985584  -59.47460827 -259.4967919  -181.39159219
 -128.02414906 -256.37128995 -197.59684474 -274.52398557]"
"[-225.40682002 -392.08353997 -392.08353997 -192.99582877 -246.18732312
 -146.44605439 -146.44605439 -178.03882271 -146.44605439 -178.03882271
 -178.03882271 -426.32572712 -178.03882271 -426.32572712 -178.03882271
 -426.32572712 -192.99582877 -146.44605439 -178.03882271]","[ -14.0599748  -162.25071544 -151.00349034 -268.02296255  -14.0599748
 -162.25071544 -108.26618431 -122.29645747 -146.65799611 -108.26618431
 -287.09385298  -82.9213458  -108.26618431 -303.62776816  -49.64450526
 -239.10576765  -63.86255852    7.24688388 -115.46399324]","[-157.26639708 -450.9457067   -62.45413468 -329.99965852 -193.00996865
  -30.50804086 -292.67290617 -273.17137914 -278.66596784 -324.2339404
 -326.36069187 -157.70740008  -62.45413468 -329.99965852 -273.17137914
 -194.67327227 -202.82288835 -311.6640498  -302.10441525]"
"[-373.98193781 -415.2166491  -195.52655384 -373.98193781 -165.32441399
   -6.31052846 -165.32441399   -6.31052846 -250.53134264 -165.32441399
 -373.98193781 -415.2166491  -250.53134264 -165.32441399 -140.10244083
 -250.53134264 -165.32441399 -250.53134264 -165.32441399]","[ -34.064203    -26.7481647  -256.48449869   53.09998572 -466.61048421
 -312.68863833 -466.61048421 -312.68863833 -310.41657325 -208.0240545
  -34.064203    -26.7481647   -26.7481647   -70.54504915  213.7622512
 -259.15190821 -262.72022831  -60.71764996 -251.60873554]","[-481.85092567 -125.84134236 -297.73500443 -208.97569327 -304.2590292
 -138.76518619 -204.80462307 -149.85980862 -281.61309806 -286.19454922
 -375.6571615  -336.62843531 -481.85092567 -125.84134236 -281.61309806
 -286.19454922 -215.49267502 -329.65450682 -311.63978222]"
"[-117.87936565 -204.83443883 -117.87936565 -204.83443883  168.601473
 -117.87936565 -204.83443883 -204.83443883  -83.58897261 -143.02271242
  168.601473   -117.87936565 -204.83443883 -373.48333464 -117.87936565
  168.601473   -271.84302834 -204.83443883  -83.58897261]","[ -74.65952591 -106.92533325 -120.09572649   98.0919058     6.57523536
   98.0919058     6.57523536 -170.08935818   61.51648877 -205.21516335
  -31.02526567  -16.43935264   -8.4042116   -74.65952591 -144.83790117
 -134.48437115  -92.8443535   -74.65952591 -144.83790117]","[-190.47156279 -406.92006279 -129.75297385 -138.38360644 -207.03347811
 -258.60301238 -428.51903922 -113.22093682 -148.78060123 -207.65231144
 -299.10609749 -344.52150411 -428.51903922 -113.22093682 -524.50053104
 -386.17174219 -378.11127565 -524.50053104 -386.17174219]"
"[-235.49082307  -81.55876017 -209.06013171 -261.58900151 -261.58900151
 -414.5325011   -12.28114892 -209.06013171  -81.55876017   -5.59274884
 -209.06013171 -261.58900151 -209.06013171 -261.58900151 -209.06013171
 -261.58900151 -261.58900151 -235.49082307  -81.55876017]","[-130.13937958 -128.06892288 -253.28537856 -224.30406019 -286.21118097
 -285.45564722 -130.13937958 -128.06892288  -54.53845598 -144.73218987
  -66.40603046   47.47442672 -401.72526033  -54.53845598 -144.73218987
 -159.23976966 -173.39787725 -167.25472565   55.80898737]","[-152.93912308 -156.95506606 -258.3890004  -208.26545066 -317.97570721
 -165.43245297 -102.70812862 -218.89243279 -403.70327068 -393.58440015
 -327.11850037 -166.76938071 -302.50917686 -403.70327068 -393.58440015
 -138.67664    -214.73765025 -317.97570721 -165.43245297]"
"[   4.53228823  -24.75175932 -191.12499583 -217.3645801  -191.12499583
 -217.3645801   147.64126692    4.53228823  147.64126692    4.53228823
 -191.12499583 -217.3645801  -191.12499583 -217.3645801  -191.12499583
 -217.3645801  -217.3645801  -231.5921102  -191.12499583]","[ -88.90849104 -178.97359719  -76.0647789    34.82569949   89.04078953
 -258.38175134  -76.0647789    34.82569949  -88.90849104 -178.97359719
 -259.19134125    4.31922312  -19.00090122 -167.39050732   37.18208026
  -26.86525598 -115.25469809   34.15393749 -155.9963431 ]","[-111.23510744 -472.65551421 -403.19415648 -330.75460199 -325.75969767
   10.87933721 -184.87123145 -111.23510744 -311.80795547 -313.62809076
 -178.75620375 -161.36047123 -285.80246985 -472.65551421 -403.19415648
 -264.39696026 -390.29578888 -237.4293029  -234.4676958 ]"
"[-273.52797359 -241.96089263 -273.52797359 -241.96089263 -183.14019557
 -273.52797359 -273.52797359 -241.96089263 -216.44196105  -46.60970573
 -273.52797359 -241.96089263 -273.52797359 -241.96089263 -216.44196105
  -46.60970573 -273.52797359  -46.60970573 -181.93171676]","[  31.8365355   -69.77597268   13.58459809  -48.83229484  -49.75097363
 -106.52654205  127.820193   -185.31586665   -5.24632471 -175.32803717
   39.54392091   -5.24632471 -156.63320487  -49.75097363 -106.52654205
 -247.49841998 -341.50349287  166.70589812 -244.43943028]","[-275.85416074 -132.48869404 -285.20597436 -411.96926704 -259.1838036
 -275.85416074  -59.01150585 -534.83290817  101.77409473 -333.36136511
 -320.34149597 -347.53551565  -23.87101654 -338.50806404 -240.63104996
 -179.74107799 -106.76814293  101.77409473 -333.36136511]"
"[-360.44652897 -425.24618074 -394.33858432 -360.44652897 -394.33858432
 -360.44652897   -8.80821043 -244.84517845 -360.44652897 -425.24618074
 -381.65188913   -8.80821043 -381.65188913   -8.80821043 -360.44652897
 -425.24618074 -360.44652897 -425.24618074 -360.44652897]","[ -17.19860191  -27.27781204 -221.59905868   18.35877929  -48.88810186
  -49.0863944    26.68771186 -198.85645241 -221.59905868   18.35877929
 -118.71319901   45.76463674  -28.0693072    87.89272149  -27.27781204
   30.77284729   49.05302105  -17.19860191 -183.8596676 ]","[-410.11440901  -98.45711109   82.56143481 -348.06097727 -400.58561837
 -257.30014778 -400.58561837 -257.30014778 -169.28870516 -436.68635114
 -122.62415767 -220.17559089 -469.34640014  -80.90319807 -251.94953203
 -270.68570862 -181.48871061 -379.96996044  -66.93976346]"
"[-174.16793364 -166.47690922 -166.47690922 -206.65617599 -403.24269913
 -361.8067735  -166.47690922 -206.65617599 -403.24269913 -361.8067735
 -361.8067735  -297.20833305 -174.16793364 -166.47690922 -174.16793364
 -166.47690922 -166.47690922 -206.65617599 -166.47690922]","[ -26.67838744  -16.35223508  -86.6913938   -61.9461886  -234.48193745
  -29.11288871  157.83353416  -27.61774136  168.59463911 -157.25130058
   24.7026807  -177.56081462  -27.61774136  -18.20303598 -146.35510513
  168.59463911 -157.25130058 -341.94479438  -43.35673573]","[ -84.09366245 -333.56021833 -193.87628834 -438.54851784  -84.09366245
 -333.56021833 -290.67056177 -321.64671429 -273.45131152  -94.63369932
 -173.51005383 -345.95764787 -454.83776585 -109.09374372 -313.20450218
 -480.60245643 -303.0850963  -300.86052482 -388.72952093]"
"[ -51.11341964 -128.94999123 -217.35773595 -266.02548271 -217.35773595
 -266.02548271  -51.11341964 -128.94999123  -51.11341964 -128.94999123
 -128.94999123  -29.60160611 -128.94999123  -29.60160611  -51.11341964
 -128.94999123  -29.60160611 -266.02548271 -392.71846431]","[-163.78696626 -154.60820321 -163.78696626 -154.60820321 -130.87404993
 -230.19966103   32.10955194   65.34775464   32.10955194   65.34775464
 -241.67310591 -144.9552688   -55.26563781 -109.88956887 -177.35670959
 -294.62109364  -54.34517575   -4.42232107  101.2171685 ]","[-524.51510883 -532.45893813 -309.4148175    -1.76846316 -413.00141798
 -286.30459741 -343.37100341 -146.0006592  -188.64288872 -507.24353723
 -175.67244804   -1.76846316 -413.00141798 -242.58744316 -373.41221953
 -102.66651923 -237.38644647 -323.85452276 -306.67510477]"
"[-275.51706636    4.72557694 -186.40280163 -167.77975562 -208.10048259
   72.11238655 -208.10048259   72.11238655   72.11238655 -275.51706636
    4.72557694 -186.40280163    4.72557694 -186.40280163 -186.40280163
 -167.77975562    4.72557694 -186.40280163 -167.77975562]","[-416.08594929 -267.83113036   32.57048199 -131.64507219 -158.5560835
   71.9428242  -290.69379892  -55.41522031 -214.59371124 -180.04128578
 -248.48208603  143.40104674  110.60341118   32.57048199 -131.64507219
 -290.69379892   41.77105621 -162.56446571 -357.60566855]","[-326.78857896 -417.51930116 -175.23139272 -620.49552644 -258.26865009
 -206.55990171 -254.03271618 -431.57792896 -185.59402694 -292.67586398
 -437.05072244 -308.74257339 -234.60260607 -240.85248967 -134.54955128
 -175.23139272 -620.49552644 -282.85191168 -326.78857896]"
"[   4.94967903 -187.54333108   55.58859983 -194.62475436  -70.2495036
    4.94967903 -105.9309655   -70.2495036    55.58859983 -194.62475436
    4.94967903 -187.54333108 -187.54333108 -187.54333108   55.58859983
 -105.9309655   -70.2495036    55.58859983 -194.62475436]","[-117.3808331   -36.90893151 -127.46627998 -153.55635465 -160.63308634
  104.88779249 -131.47879259 -126.00725924 -154.56116213 -146.24298058
 -148.54446561  -36.90893151  110.67176598   -5.3037932  -230.41855863
 -261.49088598  -27.63710802 -146.24298058 -148.54446561]","[-549.91164632 -217.12348671 -355.89616506 -296.92098757 -298.52876051
 -314.4154109   -57.2354867  -270.13594735 -277.3467424  -221.9484523
  -77.51394383 -275.63354652 -288.25630031  -23.55721402 -228.26815019
 -355.89616506 -296.92098757 -218.22014134  -80.6234713 ]"
"[  91.60330536 -221.19552476 -149.94246868 -294.43258503 -147.97008065
 -139.85117083 -149.94246868 -294.43258503   91.60330536 -221.19552476
 -149.94246868 -294.43258503 -147.97008065 -139.85117083   91.60330536
 -221.19552476 -139.85117083   91.60330536 -221.19552476]","[ -76.99689673 -231.29443225   -5.92444402   58.99581158  159.80901354
 -271.02052294  -77.5928838   -99.4903443  -135.06822054  -27.78823332
  -99.54956045   18.21743742  118.5140963   -32.69838266 -271.02052294
 -148.86095936  118.5140963    -9.38439886   88.82693725]","[-254.78978338 -123.95326789  -43.96413446  -96.0973814  -210.03082555
  -74.63595491 -210.03082555  -74.63595491 -143.21577981 -191.06450194
 -301.38628377 -119.20952825 -209.8734636  -109.29192822 -153.80179709
  -28.60043074 -341.9205577  -390.74874887 -217.53418887]"
"[-131.51242554 -362.71372239 -131.51242554 -362.71372239 -346.68726582
 -221.7152484  -346.68726582 -221.7152484  -346.68726582 -221.7152484
 -131.51242554 -362.71372239 -461.38775922 -131.51242554 -131.51242554
 -362.71372239   -3.67975533 -461.38775922   -3.67975533]","[-265.53914175   28.13765191 -195.74403026  -22.37491475  -25.39971689
   49.87978395  125.21859417 -188.95513245   57.8553851   -21.89870275
   -6.16434034  108.59891282 -150.07664073  125.83325241  -50.16177255
 -195.74403026 -160.03529121   18.8757628  -110.63340197]","[-273.6877637  -499.92600066 -578.5932474  -116.35990393  -94.44405991
 -501.9093818  -319.70671512 -167.75386573 -284.39282466 -341.37169239
  -48.28415256  -96.35035419 -356.89082071 -241.29307568 -394.2905996
 -319.70671512 -225.931707   -190.44448838 -460.69978286]"
"[-298.69846818   -1.41394056 -298.69846818   -1.41394056 -298.69846818
   -1.41394056 -345.24381825 -341.64695796 -341.64695796 -252.45879026
 -341.64695796 -252.45879026 -341.64695796 -252.45879026 -293.11127652
  -83.62507539 -341.64695796  -83.62507539 -345.24381825]","[ -95.03261139   75.3503425  -133.29960553 -181.62632836   25.71841726
 -163.61122893 -131.6896256    33.86320682  141.5909962    81.22461916
 -181.62632836  -59.81689959 -128.2009284    13.53270143   66.87185913
 -209.4116321    11.7355727    63.16174973 -100.5551878 ]","[-222.97551061 -169.48842753    1.70968146 -222.97551061 -156.40913047
 -154.3874072  -471.34117189 -356.6330011   -92.89594136 -214.20655071
 -218.62857165 -169.67841559 -134.21338765 -167.12891266  -92.00383067
   11.20763492  -54.938826   -375.36442743 -138.84358723]"
"[-330.6725081   126.16913208  -16.31475779 -234.18405942  -16.31475779
 -234.18405942 -330.6725081   126.16913208  126.16913208   -7.91218217
 -277.16075347 -225.09854133  126.16913208  126.16913208   -7.91218217
  -16.31475779 -234.18405942 -225.09854133 -330.6725081 ]","[  9.88274899e+01  -2.46517961e+02   1.72627918e+01  -9.88125900e+01
  -3.94455018e+01   5.15943037e+00  -2.04117923e+02  -4.94644134e+01
  -3.06909696e+01  -1.75047889e+01  -1.98228417e+01  -2.76682333e+02
   1.08802910e+01  -3.74980155e+01  -1.93628013e+02  -7.88014258e-02
  -5.69924181e+01  -1.82337471e+02   9.88274899e+01]","[-103.43647147 -369.25305739 -131.80878351 -170.65806068 -358.42781468
 -319.74278188 -170.65806068 -306.0222009  -152.93537387 -247.08608872
 -117.63805999  -40.98794279 -255.19388065 -402.69489235 -295.67802125
 -227.22018504 -161.20973402 -154.55351725  -97.5555016 ]"
"[  35.13703442   98.78035686 -176.61531987  -30.80096948   98.78035686
  -96.80065994   98.78035686  -96.80065994   35.13703442   98.78035686
 -176.61531987  -30.80096948 -223.7383055  -229.95122032   35.13703442
   98.78035686 -176.61531987 -229.95122032   35.13703442]","[-105.57213906 -185.24127764 -185.24127764  -39.40476581  -75.84132063
  -73.94145354 -149.88792049   94.49250801  -85.21473096   92.35074752
   64.52971267  -38.28251008  106.0099838  -209.92067195 -131.74989777
 -178.84344344  204.4107334  -319.93102941   24.85620402]","[-396.24100421 -249.91171397  -37.23971923 -267.79123854 -348.08292763
 -296.60548584 -115.57855857  -81.18915966 -233.09261564 -271.12818724
 -288.76420569 -336.56050034 -248.22116562 -140.30821749 -310.95921774
 -420.07167849 -382.49645854 -399.49535592  -81.18915966]"
