policyParams0,policyParams1,policyParams2,policyParams3,policyParams4,policyParams5,policyParams6,policyParams7,policyParams8,policyParams9
"[-0.04470573 -0.33217827  0.17668057 ...,  0.          0.          0.        ]","[ 0.10089482  0.02756087 -0.07831221 ...,  0.          0.          0.        ]","[ 0.27108647  0.19553725  0.0350746  ...,  0.          0.          0.        ]","[ 0.34497116  0.01003675 -0.3480927  ...,  0.          0.          0.        ]","[-0.09601167 -0.25895643 -0.02253534 ...,  0.          0.          0.        ]","[ 0.03800438 -0.31857924 -0.09400994 ...,  0.          0.          0.        ]","[-0.07746846  0.00303574  0.33660511 ...,  0.          0.          0.        ]","[ 0.13032041  0.35021597  0.24268843 ...,  0.          0.          0.        ]","[-0.255044    0.32831439  0.04556369 ...,  0.          0.          0.        ]","[ 0.11116293  0.10804297  0.10898903 ...,  0.          0.          0.        ]"
"[-0.04497613 -0.33425912  0.17906131 ...,  0.00624794  0.00037769
 -0.00182828]","[ 0.10236107  0.03033813 -0.07717957 ..., -0.00047669  0.00106666
  0.00091129]","[  2.70860299e-01   1.95740345e-01   3.47667641e-02 ...,  -2.16975267e-03
  -4.81965419e-04  -6.05757191e-05]","[ 0.34473424  0.00952137 -0.34824394 ...,  0.00171757  0.00075344
 -0.00046154]","[-0.0955622  -0.25901829 -0.0223727  ..., -0.00153586  0.00299558
 -0.00148596]","[ 0.03730466 -0.31821594 -0.09504831 ...,  0.00372734  0.00150059
  0.00161259]","[-0.0772481   0.00445498  0.3408793  ..., -0.00268459  0.00177562
  0.00103378]","[  1.30970007e-01   3.51710509e-01   2.43406889e-01 ...,  -3.21211276e-04
  -1.66614270e-03   1.26980997e-03]","[-0.25640092  0.32862521  0.04678474 ..., -0.00072696 -0.00113084
 -0.00077243]","[ 0.11305934  0.11043021  0.10678194 ..., -0.00019125  0.00118591
 -0.00158132]"
"[ -4.68765105e-02  -3.31408960e-01   1.83091721e-01 ...,   6.84698436e-03
  -3.23409552e-04  -3.22407805e-03]","[ 0.10311946  0.03140204 -0.0773203  ...,  0.00043538  0.00341593
  0.00114837]","[  2.70818480e-01   1.95887310e-01   3.46889582e-02 ...,  -2.73211302e-03
  -8.36890437e-04  -1.58256124e-04]","[ 0.34463353  0.00934916 -0.34835629 ...,  0.00200108  0.00109864
 -0.00038821]","[-0.09550178 -0.25888826 -0.02208951 ..., -0.00199234  0.00415766
 -0.00183799]","[ 0.03742618 -0.31813859 -0.09546814 ...,  0.0050832   0.00192161
  0.00201181]","[-0.0771543   0.00497059  0.34238275 ..., -0.00346468  0.00248225
  0.00151557]","[ 0.13118887  0.35222889  0.24366745 ..., -0.00055545 -0.00253407
  0.00193132]","[-0.25687636  0.32868214  0.047235   ..., -0.000928   -0.00166119
 -0.00077247]","[ 0.11368062  0.11127557  0.10599055 ..., -0.00048956  0.00171667
 -0.00204882]"
"[-0.04151356 -0.33614014  0.18044616 ...,  0.00489149 -0.00323555
 -0.00451322]","[ 0.10352202  0.03186869 -0.07812211 ...,  0.00212543  0.00691735
  0.00118231]","[ 0.27088634  0.19599731  0.03478246 ..., -0.00213253 -0.00111901
  0.00055811]","[  3.44551965e-01   9.27104452e-03  -3.48412918e-01 ...,   2.13343139e-03
   9.69456594e-04  -2.44435314e-04]","[-0.09552332 -0.25877731 -0.02186239 ..., -0.00202429  0.00455061
 -0.0018278 ]","[ 0.03776068 -0.31814613 -0.09572546 ...,  0.00520802  0.00186168
  0.0020487 ]","[-0.07714357  0.00514604  0.34289856 ..., -0.00354046  0.00290407
  0.00164871]","[ 0.13124362  0.35241592  0.24378342 ..., -0.00069045 -0.00316029
  0.00225622]","[-0.25704242  0.32853905  0.04739616 ..., -0.00090474 -0.00218192
 -0.00078891]","[ 0.11393853  0.11156228  0.10573275 ..., -0.00080478  0.00203841
 -0.00239175]"
"[-0.03694339 -0.33903918  0.17656965 ...,  0.00301714 -0.00595766
 -0.00460854]","[ 0.10380276  0.03209773 -0.07903091 ...,  0.00305966  0.00973726
  0.00134683]","[ 0.27086735  0.19596692  0.03481949 ..., -0.00136397 -0.00194268
  0.00175219]","[  3.44459588e-01   9.18100297e-03  -3.48399091e-01 ...,   2.01969190e-03
   9.51995439e-04   1.42437884e-04]","[-0.09552812 -0.25871934 -0.02178794 ..., -0.00210954  0.00473427
 -0.00181713]","[ 0.0381382  -0.31819803 -0.09585749 ...,  0.00634528  0.00182188
  0.00156391]","[-0.07710267  0.00520422  0.34307471 ..., -0.00397332  0.00317025
  0.00180622]","[ 0.13124861  0.35248136  0.24387329 ..., -0.00140301 -0.00371062
  0.00268508]","[-0.25707689  0.32836181  0.04748832 ..., -0.00091209 -0.00245799
 -0.00063197]","[ 0.11393324  0.11164429  0.10560917 ..., -0.00113066  0.002309   -0.00280519]"
"[-0.03436352 -0.34016471  0.17368789 ...,  0.00473397 -0.0060614
 -0.00547702]","[ 0.10390841  0.03218114 -0.07971617 ...,  0.00319624  0.01165789
  0.00134125]","[ 0.2708669   0.19570271  0.03506285 ..., -0.0006084  -0.00200135
  0.00210135]","[ 0.34436117  0.00908113 -0.3483621  ...,  0.00169928  0.0009578
  0.00046249]","[-0.09550869 -0.25871799 -0.02180497 ..., -0.0022319   0.00466376
 -0.00169136]","[ 0.03843077 -0.31825351 -0.09589487 ...,  0.00762975  0.00165791
  0.00113791]","[-0.07697295  0.00534786  0.34319912 ..., -0.00448207  0.00356276
  0.00160244]","[ 0.13103879  0.35244886  0.24441538 ..., -0.00224279 -0.00481049
  0.00299256]","[-0.25709294  0.32823499  0.04753607 ..., -0.00099506 -0.00255564
 -0.00074503]","[ 0.11388072  0.1116449   0.10554971 ..., -0.00152742  0.00267993
 -0.00303345]"
"[-0.03530141 -0.3383257   0.17446647 ...,  0.00551509 -0.00715056
 -0.00813172]","[ 0.10397669  0.03222161 -0.08019776 ...,  0.00314237  0.01277946
  0.0014156 ]","[ 0.27083031  0.19519185  0.03523304 ...,  0.00030728 -0.00122552
  0.00221365]","[ 0.3442946   0.00902164 -0.34830746 ...,  0.00144968  0.0010199
  0.00090712]","[-0.09547594 -0.25864013 -0.02189552 ..., -0.00219506  0.00471926
 -0.00147036]","[  3.81578378e-02  -3.18206622e-01  -9.59509593e-02 ...,   8.66416314e-03
   1.48581530e-03   1.37909987e-04]","[-0.0767995   0.00554574  0.34332771 ..., -0.00484147  0.00394849
  0.00155501]","[ 0.13088751  0.35241502  0.24472785 ..., -0.00246693 -0.00504556
  0.00328732]","[-0.25708498  0.32819989  0.04756286 ..., -0.00084498 -0.00270869
 -0.00103533]","[ 0.1137816   0.11160244  0.10550661 ..., -0.00164966  0.00285648
 -0.00312113]"
"[-0.03721508 -0.33621139  0.1771023  ...,  0.00542601 -0.00866303
 -0.01107013]","[ 0.10403366  0.03225675 -0.08038524 ...,  0.00305944  0.01308128
  0.00177901]","[ 0.27071437  0.194943    0.0352213  ...,  0.0004822  -0.00202981
  0.00226028]","[ 0.34428537  0.00902135 -0.34830095 ...,  0.00123339  0.00098244
  0.00103974]","[-0.09542365 -0.2584131  -0.02194157 ..., -0.00175437  0.00469771
 -0.00122384]","[  3.77362833e-02  -3.18047539e-01  -9.58653574e-02 ...,   9.83240421e-03
   1.55841134e-03  -1.36593456e-04]","[-0.07671099  0.00552724  0.34336591 ..., -0.00510703  0.00488314
  0.00163579]","[ 0.13064856  0.35227961  0.24508318 ..., -0.00250299 -0.00478798
  0.00352342]","[-0.25708272  0.32826071  0.04756785 ..., -0.00077134 -0.00259543
 -0.00110333]","[ 0.11361916  0.11152313  0.10546442 ..., -0.0017751   0.00274549
 -0.00315321]"
"[-0.0372299  -0.33624729  0.17766625 ...,  0.00362538 -0.00779123
 -0.01372529]","[ 0.1040537   0.03227663 -0.08037799 ...,  0.00291351  0.01316094
  0.00209278]","[  2.70470069e-01   1.94796022e-01   3.55260359e-02 ...,   1.27633986e-03
  -9.89188427e-04  -6.22417977e-05]","[ 0.34429481  0.00903387 -0.34830464 ...,  0.00120652  0.00101339
  0.00111804]","[-0.09542243 -0.25820318 -0.02192684 ..., -0.00152595  0.00470891
 -0.00130222]","[ 0.03789667 -0.31812451 -0.09584307 ...,  0.011279    0.00160412
  0.00071142]","[-0.07666472  0.00550392  0.34340046 ..., -0.00481584  0.00591868
  0.00177128]","[ 0.13041387  0.35222268  0.24540252 ..., -0.00241537 -0.00541443
  0.00436804]","[-0.25711617  0.32829128  0.04753486 ..., -0.00094861 -0.00255191
 -0.0011409 ]","[ 0.1134865   0.11149389  0.10541947 ..., -0.00234624  0.0022719
 -0.00298912]"
"[-0.03527901 -0.33358672  0.17707004 ...,  0.00190078 -0.00720083
 -0.01688785]","[ 0.10407978  0.03229679 -0.08028181 ...,  0.00289471  0.01305002
  0.00247873]","[ 0.27072242  0.19504451  0.03621351 ..., -0.00042095 -0.00191218
 -0.00306569]","[ 0.34433559  0.00909936 -0.34839042 ...,  0.00112749  0.00138808
  0.0012369 ]","[-0.09537164 -0.25802141 -0.02195939 ..., -0.00131586  0.00455366
 -0.00141887]","[ 0.03801421 -0.31805176 -0.09597971 ...,  0.01195236  0.00153012
  0.0009562 ]","[-0.07657489  0.00551846  0.34346733 ..., -0.00490135  0.00707075
  0.00113899]","[ 0.13010802  0.35218277  0.24610401 ..., -0.00291179 -0.00633559
  0.00479022]","[-0.25718564  0.32854819  0.04740709 ..., -0.00085271 -0.00286118
 -0.00120942]","[ 0.11343539  0.11145175  0.10542825 ..., -0.00283343  0.00162455
 -0.00305595]"
