policyParams0,policyParams1,policyParams2,policyParams3,policyParams4,policyParams5,policyParams6,policyParams7,policyParams8,policyParams9
"[-0.04470573 -0.33217827  0.17668057 ...,  0.          0.          0.        ]","[ 0.10089482  0.02756087 -0.07831221 ...,  0.          0.          0.        ]","[ 0.27108647  0.19553725  0.0350746  ...,  0.          0.          0.        ]","[ 0.34497116  0.01003675 -0.3480927  ...,  0.          0.          0.        ]","[-0.09601167 -0.25895643 -0.02253534 ...,  0.          0.          0.        ]","[ 0.03800438 -0.31857924 -0.09400994 ...,  0.          0.          0.        ]","[-0.07746846  0.00303574  0.33660511 ...,  0.          0.          0.        ]","[ 0.13032041  0.35021597  0.24268843 ...,  0.          0.          0.        ]","[-0.255044    0.32831439  0.04556369 ...,  0.          0.          0.        ]","[ 0.11116293  0.10804297  0.10898903 ...,  0.          0.          0.        ]"
"[-0.04570573 -0.33117827  0.17568057 ...,  0.001       0.001      -0.001     ]","[ 0.10189482  0.02856087 -0.07931221 ..., -0.001       0.001       0.001     ]","[ 0.27008648  0.19453725  0.03607459 ..., -0.001      -0.001       0.001     ]","[ 0.34397116  0.00903675 -0.3470927  ..., -0.001      -0.001      -0.001     ]","[-0.09701167 -0.25995643 -0.02153534 ..., -0.001      -0.001       0.001     ]","[ 0.03900438 -0.31957923 -0.09500994 ..., -0.001      -0.001      -0.001     ]","[-0.07846845  0.00403571  0.33560514 ...,  0.001      -0.001      -0.001     ]","[ 0.13132041  0.34921599  0.24168843 ...,  0.001      -0.001       0.001     ]","[-0.25404401  0.32731443  0.04656369 ..., -0.001      -0.001      -0.001     ]","[ 0.11016304  0.10704297  0.109989   ...,  0.001       0.001      -0.001     ]"
"[-0.04520573 -0.33167827  0.17518057 ...,  0.0005      0.0005     -0.0015    ]","[ 0.10389482  0.03356087 -0.08331221 ..., -0.003       0.004       0.003     ]","[ 0.26808648  0.19453725  0.03907464 ...,  0.001      -0.003       0.001     ]","[ 0.34397116  0.00903675 -0.3470927  ..., -0.002      -0.005      -0.003     ]","[-0.10001167 -0.26495643 -0.01853534 ..., -0.006      -0.002       0.001     ]","[ 0.04400438 -0.32157923 -0.09900994 ..., -0.003      -0.004      -0.006     ]","[-0.07946845  0.00703571  0.33360514 ...,  0.002      -0.002      -0.003     ]","[ 0.13332041  0.34821599  0.23968843 ...,  0.006      -0.004       0.001     ]","[-0.24904401  0.32531443  0.05156369 ..., -0.005      -0.003      -0.001     ]","[ 0.10916304  0.10604297  0.10998899 ...,  0.005       0.004      -0.003     ]"
"[ -5.07057290e-02  -3.28178280e-01   1.80680569e-01 ...,   6.52374724e-11
   1.99999989e-03   9.99999955e-04]","[ 0.10639482  0.03706087 -0.08781221 ..., -0.0025      0.0065      0.0075    ]","[  2.67086477e-01   1.95537256e-01   3.90746375e-02 ...,   5.70133596e-10
  -4.00000003e-03  -1.16290061e-10]","[ 0.34247116  0.00753675 -0.3455927  ..., -0.0005     -0.0095     -0.0055    ]","[-0.10351167 -0.26845643 -0.01503534 ..., -0.0095     -0.0025      0.0015    ]","[ 0.04750438 -0.32407923 -0.10250994 ..., -0.0035     -0.0025     -0.0075    ]","[-0.07896845  0.00753571  0.33410514 ...,  0.0035     -0.0045     -0.0035    ]","[ 0.13182041  0.34571599  0.23818849 ...,  0.0075     -0.0065     -0.0025    ]","[-0.24654402  0.32281443  0.05506369 ..., -0.00550001 -0.0055      0.0005    ]","[ 0.10766304  0.10554297  0.10748899 ...,  0.0035      0.0065     -0.0045    ]"
"[-0.05370573 -0.32617828  0.18468057 ..., -0.003       0.005       0.002     ]","[ 0.10789482  0.03856086 -0.08831221 ..., -0.001       0.005       0.009     ]","[ 0.26908648  0.19453726  0.04107464 ...,  0.002      -0.005      -0.002     ]","[ 0.34397115  0.00703677 -0.34709269 ..., -0.002      -0.009      -0.006     ]","[-0.10201169 -0.26995643 -0.01453545 ..., -0.011      -0.001       0.001     ]","[ 0.04900437 -0.32557923 -0.10200994 ..., -0.005      -0.002      -0.006     ]","[-0.07746845  0.00603571  0.33560514 ...,  0.004      -0.005      -0.005     ]","[ 0.13032041  0.344216    0.23968849 ...,  0.009      -0.005      -0.004     ]","[-0.24504402  0.32131444  0.05656368 ..., -0.00600001 -0.007       0.001     ]","[ 0.10816303  0.104043    0.10598901 ...,  0.002       0.006      -0.005     ]"
"[-0.05270574 -0.32717826  0.18568057 ..., -0.004       0.004       0.003     ]","[ 0.11189482  0.04356086 -0.08931221 ...,  0.002       0.003       0.013     ]","[ 0.26808648  0.19253726  0.04607464 ...,  0.006      -0.009      -0.003     ]","[ 0.34397116  0.00703677 -0.34809269 ..., -0.003      -0.006      -0.005     ]","[ -1.03011685e-01  -2.70956428e-01  -1.15354541e-02 ...,  -1.09999995e-02
   3.50610005e-09   1.00000298e-03]","[ 0.05000437 -0.32857923 -0.10000994 ..., -0.009      -0.001      -0.002     ]","[-0.07546845  0.00603571  0.33860514 ...,  0.002      -0.009      -0.003     ]","[ 0.12632041  0.341216    0.24168849 ...,  0.012      -0.003      -0.006     ]","[-0.24504402  0.32031444  0.05756368 ..., -0.00600001 -0.007       0.003     ]","[ 0.11216303  0.105043    0.10898901 ...,  0.003       0.003      -0.004     ]"
"[-0.05370574 -0.33017826  0.19068055 ..., -0.007      -0.001       0.008     ]","[ 0.11189482  0.04456086 -0.08831221 ...,  0.003      -0.001       0.017     ]","[ 0.27058648  0.19503726  0.04857464 ...,  0.0075     -0.0125     -0.0025    ]","[ 0.34197116  0.00503677 -0.34609269 ..., -0.003      -0.006      -0.005     ]","[-0.10301168 -0.27395643 -0.01253545 ..., -0.01        0.002       0.002     ]","[ 0.05300437 -0.33257923 -0.10000994 ..., -0.008       0.002       0.001     ]","[-0.07346845  0.00403571  0.33760514 ...,  0.003      -0.01       -0.003     ]","[ 0.12232041  0.338216    0.24468849 ...,  0.016      -0.001      -0.008     ]","[-0.24804402  0.32231444  0.05456368 ..., -0.00700001 -0.004       0.004     ]","[ 0.11416303  0.104043    0.10998901 ...,  0.002      -0.001      -0.005     ]"
"[-0.05320574 -0.33267826  0.19218055 ..., -0.0055     -0.0045      0.0125    ]","[ 0.1128948   0.04556083 -0.08631221 ...,  0.004       0.001       0.019     ]","[ 0.27308647  0.19753726  0.05107464 ...,  0.009      -0.012      -0.005     ]","[ 0.34297115  0.00603673 -0.34709268 ..., -0.001      -0.008      -0.003     ]","[-0.10501168 -0.27595643 -0.01153546 ..., -0.008       0.002       0.002     ]","[  5.50043741e-02  -3.34579230e-01  -1.00009944e-01 ...,  -6.00000005e-03
   2.00000405e-03   1.43302801e-09]","[-0.07546845  0.00203571  0.33760513 ...,  0.003      -0.01       -0.003     ]","[ 0.12332041  0.34021599  0.2426886  ...,  0.015      -0.002      -0.007     ]","[-0.25104402  0.32531444  0.05256368 ..., -0.01100001 -0.007       0.003     ]","[ 0.11616303  0.10304301  0.111989   ...,  0.004      -0.003      -0.003     ]"
"[-0.05170574 -0.33317826  0.19268055 ..., -0.004      -0.005       0.011     ]","[ 0.1118948   0.04456083 -0.08231221 ...,  0.003       0.003       0.024     ]","[ 0.27308648  0.20053726  0.05507464 ...,  0.009      -0.013      -0.005     ]","[  3.40971143e-01   6.03672923e-03  -3.46092675e-01 ...,  -2.80363308e-09
  -1.20000002e-02  -9.99998888e-04]","[-0.10601168 -0.27995643 -0.01553546 ..., -0.006       0.002       0.002     ]","[ 0.06000437 -0.33857923 -0.10100994 ..., -0.003       0.005      -0.001     ]","[-0.07346845  0.00303571  0.33860513 ...,  0.001      -0.011      -0.004     ]","[ 0.12532041  0.34021599  0.2416886  ...,  0.014      -0.007      -0.007     ]","[-0.25054402  0.32781444  0.05006368 ..., -0.01050001 -0.0055      0.0045    ]","[ 0.11916303  0.10204301  0.115989   ...,  0.005      -0.005      -0.005     ]"
"[-0.05170574 -0.33517842  0.19468055 ...,  0.001      -0.006       0.009     ]","[ 0.1123948   0.04406083 -0.07981221 ...,  0.0035      0.0045      0.0275    ]","[ 0.27208648  0.19953726  0.05407464 ...,  0.011      -0.014      -0.008     ]","[ 0.34047114  0.00653673 -0.34659268 ..., -0.0005     -0.0115      0.0025    ]","[-0.10601168 -0.28095643 -0.01553546 ..., -0.005       0.003       0.003     ]","[ 0.06250437 -0.33907923 -0.09950994 ..., -0.0005      0.0065     -0.0035    ]","[-0.07396845  0.00253571  0.33910513 ...,  0.0005     -0.0115     -0.0035    ]","[ 0.12532041  0.33921599  0.2426886  ...,  0.015      -0.007      -0.008     ]","[-0.24904403  0.33031444  0.04756369 ..., -0.011      -0.003       0.004     ]","[ 0.11866303  0.10354301  0.115489   ...,  0.0045     -0.0075     -0.0045    ]"
