policyParams0
"[ 0.14115528  0.05037573 -0.04434142 ...,  0.34151491  0.          0.        ]"
"[ 0.13915529  0.05237572 -0.04234143 ...,  0.33951491 -0.002       0.002     ]"
"[ 0.13715535  0.06037571 -0.03434143 ...,  0.34151491 -0.002      -0.002     ]"
"[ 0.14115535  0.06437571 -0.03034143 ...,  0.33751491 -0.002      -0.006     ]"
"[ 0.14815534  0.07137571 -0.02334143 ...,  0.33051491 -0.001      -0.013     ]"
"[ 0.15315534  0.07637571 -0.01834143 ...,  0.32751491  0.002      -0.018     ]"
"[  1.51155341e-01   7.43757105e-02  -2.23414324e-02 ...,   3.31514906e-01
  -1.63347649e-09  -2.00000007e-02]"
"[ 0.14715534  0.07037571 -0.02634143 ...,  0.33351491 -0.002      -0.024     ]"
"[ 0.14615534  0.06937571 -0.02734143 ...,  0.33251491 -0.003      -0.025     ]"
"[  1.37155341e-01   6.03757114e-02  -2.03414318e-02 ...,   3.39514906e-01
  -1.62405844e-09  -3.20000007e-02]"
"[  1.35155341e-01   5.83757115e-02  -1.83414319e-02 ...,   3.41514906e-01
  -1.62383906e-09  -3.20000007e-02]"
"[ 0.13015534  0.05337571 -0.01334143 ...,  0.33851491  0.003      -0.035     ]"
"[ 0.12815534  0.05137571 -0.01134143 ...,  0.34251491 -0.001      -0.041     ]"
"[ 0.12915534  0.05237571 -0.01234143 ...,  0.34551491 -0.002      -0.042     ]"
"[ 0.12715534  0.05437571 -0.01034143 ...,  0.35351491 -0.002      -0.05      ]"
"[ 0.12315534  0.05837571 -0.00634143 ...,  0.35551491 -0.006      -0.054     ]"
"[ 0.12215534  0.05937571 -0.00734143 ...,  0.35851491 -0.009      -0.061     ]"
"[ 0.12715534  0.05437571 -0.01234143 ...,  0.36151491 -0.008      -0.066     ]"
"[ 0.12615534  0.05537571 -0.01134143 ...,  0.36251491 -0.007      -0.065     ]"
"[ 0.12915534  0.05237571 -0.01234143 ...,  0.36551491 -0.014      -0.068     ]"
"[ 0.13115534  0.05437571 -0.01434143 ...,  0.36751491 -0.012      -0.066     ]"
"[ 0.13015534  0.05537571 -0.01334143 ...,  0.36851491 -0.009      -0.061     ]"
"[ 0.13115534  0.05437571 -0.01434143 ...,  0.36751491 -0.008      -0.058     ]"
"[ 0.13115534  0.05437572 -0.01634143 ...,  0.36551491 -0.012      -0.056     ]"
"[ 0.13015534  0.05537572 -0.01534143 ...,  0.36651491 -0.011      -0.055     ]"
"[ 0.13515534  0.05037572 -0.02034143 ...,  0.36951491 -0.012      -0.052     ]"
"[ 0.12715534  0.05837572 -0.01234143 ...,  0.36351491 -0.004      -0.06      ]"
"[ 0.12415534  0.06137572 -0.00934143 ...,  0.36251491 -0.003      -0.061     ]"
"[ 0.12615534  0.05737572 -0.01134143 ...,  0.36251491 -0.009      -0.067     ]"
"[ 0.12715534  0.05437572 -0.01234143 ...,  0.36751491 -0.004      -0.072     ]"
"[  1.27155336e-01   5.43757199e-02  -1.03414381e-02 ...,   3.69514906e-01
  -9.53506757e-10  -7.40000010e-02]"
"[ 0.12615534  0.05537572 -0.00934144 ...,  0.37251491  0.003      -0.071     ]"
"[ 0.12715533  0.05437572 -0.01034144 ...,  0.36951491  0.004      -0.07      ]"
"[ 0.12815533  0.05337572 -0.01134144 ...,  0.36851491  0.001      -0.073     ]"
"[ 0.12515533  0.05637572 -0.00834144 ...,  0.36751491 -0.002      -0.076     ]"
"[ 0.12115534  0.06037572 -0.00834144 ...,  0.36551491 -0.008      -0.082     ]"
"[ 0.12715534  0.05437572 -0.01434144 ...,  0.36951491 -0.002      -0.078     ]"
"[ 0.12915534  0.05237572 -0.01634144 ...,  0.36951491  0.002      -0.074     ]"
"[ 0.12515534  0.05837572 -0.01234144 ...,  0.36151491  0.006      -0.07      ]"
"[ 0.12315534  0.05637572 -0.01034144 ...,  0.36351491  0.004      -0.072     ]"
"[ 0.11415534  0.05337572 -0.00134144 ...,  0.37251491 -0.005      -0.079     ]"
"[  1.13155335e-01   5.63757207e-02  -3.41437462e-04 ...,   3.69514905e-01
  -8.00000072e-03  -8.00000010e-02]"
"[ 0.11315533  0.06237571  0.00365856 ...,  0.36351491 -0.014      -0.084     ]"
"[ 0.11015534  0.06537571  0.00465856 ...,  0.36251491 -0.015      -0.087     ]"
"[ 0.11315534  0.06237571  0.00165856 ...,  0.36351491 -0.014      -0.086     ]"
"[  1.15155333e-01   6.03757135e-02  -3.41431050e-04 ...,   3.65514905e-01
  -1.60000006e-02  -8.40000010e-02]"
"[ 0.11615533  0.05937571 -0.00134142 ...,  0.3645149  -0.017      -0.085     ]"
"[ 0.11915533  0.05437571  0.00165858 ...,  0.35551491 -0.01       -0.088     ]"
"[  1.17155333e-01   5.63757141e-02  -3.41420587e-04 ...,   3.53514908e-01
  -1.20000006e-02  -8.60000013e-02]"
"[ 0.10815533  0.06537571 -0.00934142 ...,  0.35451491 -0.019      -0.085     ]"
"[ 0.11115533  0.06237571 -0.00634142 ...,  0.35751491 -0.016      -0.088     ]"
"[ 0.11015533  0.06337571 -0.00534142 ...,  0.35851491 -0.015      -0.087     ]"
"[ 0.11915533  0.05237571  0.00565858 ...,  0.34751491 -0.006      -0.096     ]"
"[ 0.11715533  0.05037571  0.00765857 ...,  0.34551491 -0.008      -0.094     ]"
"[ 0.11615534  0.04937572  0.00865857 ...,  0.34451491 -0.015      -0.093     ]"
"[ 0.12115534  0.05437572  0.01365857 ...,  0.34951491 -0.01       -0.09      ]"
"[ 0.12715534  0.06037572  0.01965857 ...,  0.35551491 -0.004      -0.09      ]"
"[ 0.12715533  0.06037571  0.01965857 ...,  0.35751491 -0.002      -0.088     ]"
"[ 0.12315533  0.05637571  0.01565857 ...,  0.35351491 -0.004      -0.092     ]"
"[ 0.11615533  0.04937571  0.00865857 ...,  0.35051491 -0.005      -0.099     ]"
"[ 0.11315533  0.04637572  0.00765857 ...,  0.35551491 -0.01       -0.1       ]"
"[ 0.10715534  0.04237572  0.00565858 ...,  0.36151491 -0.014      -0.106     ]"
"[ 0.11315533  0.04837572  0.01165858 ...,  0.35751491 -0.012      -0.102     ]"
"[ 0.11415534  0.05337572  0.01665857 ...,  0.35251491 -0.009      -0.103     ]"
"[ 0.10715534  0.04637572  0.00965858 ...,  0.35751491 -0.012      -0.098     ]"
"[ 0.10915534  0.04837572  0.01165858 ...,  0.35751491 -0.014      -0.096     ]"
"[ 0.10715534  0.04637572  0.00965858 ...,  0.35551491 -0.012      -0.092     ]"
"[ 0.10515536  0.04237572  0.00565859 ...,  0.35351491 -0.018      -0.086     ]"
"[ 0.10615536  0.04137572  0.0046586  ...,  0.35051491 -0.019      -0.083     ]"
"[ 0.10315536  0.03837572  0.0016586  ...,  0.34751491 -0.016      -0.082     ]"
"[ 0.10015537  0.03537572  0.00065857 ...,  0.35451491 -0.011      -0.079     ]"
"[ 0.09915537  0.03437572 -0.00234142 ...,  0.35351491 -0.014      -0.078     ]"
"[  1.01155366e-01   3.63757247e-02  -3.41427148e-04 ...,   3.51514908e-01
  -1.19999996e-02  -7.60000003e-02]"
"[ 0.10815536  0.04337572 -0.00134142 ...,  0.35251491 -0.009      -0.077     ]"
"[ 0.11115533  0.04037572 -0.00234142 ...,  0.35351491 -0.01       -0.076     ]"
"[  1.09155334e-01   3.83757252e-02  -3.41417606e-04 ...,   3.51514908e-01
  -1.19999996e-02  -7.40000004e-02]"
"[ 0.10715533  0.03637573  0.00165858 ...,  0.34951491 -0.018      -0.074     ]"
"[ 0.10615534  0.03537573  0.00265858 ...,  0.35051491 -0.015      -0.075     ]"
"[ 0.10315534  0.03237573  0.00565857 ...,  0.35351491 -0.016      -0.074     ]"
"[ 0.10315534  0.03237573  0.00565857 ...,  0.35351491 -0.016      -0.072     ]"
"[ 0.11115534  0.04037573 -0.00234143 ...,  0.35151491 -0.012      -0.076     ]"
"[ 0.11015534  0.04137573 -0.00134143 ...,  0.35251491 -0.011      -0.077     ]"
"[ 0.09915535  0.03037573  0.00965857 ...,  0.34351491 -0.006      -0.086     ]"
"[ 0.09715535  0.02837573  0.01165857 ...,  0.34551491 -0.004      -0.088     ]"
"[ 0.09815535  0.02937573  0.01065857 ...,  0.34451491 -0.005      -0.087     ]"
"[  1.09155346e-01   4.03757262e-02  -3.41429111e-04 ...,   3.49514908e-01
  -1.19999998e-02  -8.20000003e-02]"
"[ 0.10715535  0.03837573 -0.00234142 ...,  0.34751491 -0.014      -0.084     ]"
"[  1.09155347e-01   4.03757265e-02  -3.41417488e-04 ...,   3.47514908e-01
  -1.59999998e-02  -8.80000003e-02]"
"[ 0.10115535  0.03237573 -0.00634142 ...,  0.35551491 -0.008      -0.096     ]"
"[ 0.09815535  0.02937573 -0.00534142 ...,  0.35851491 -0.005      -0.095     ]"
"[  1.01155348e-01   3.63757268e-02  -3.41423413e-04 ...,   3.53514908e-01
  -1.39999998e-02  -1.02000000e-01]"
"[ 0.09915535  0.03437573 -0.00234142 ...,  0.35351491 -0.016      -0.104     ]"
"[ 0.09515535  0.03037573 -0.00634142 ...,  0.34551491 -0.006      -0.112     ]"
"[ 0.09415535  0.02937573 -0.00734142 ...,  0.34451491 -0.005      -0.113     ]"
"[ 0.09415535  0.02937573 -0.00734142 ...,  0.34251491 -0.009      -0.111     ]"
"[ 0.08515535  0.02037573 -0.01634141 ...,  0.34551491 -0.018      -0.108     ]"
"[ 0.08315535  0.01837573 -0.01834141 ...,  0.34751491 -0.02       -0.11      ]"
"[ 0.08415535  0.01937573 -0.01734141 ...,  0.34851491 -0.019      -0.109     ]"
"[ 0.08315535  0.01837573 -0.01834141 ...,  0.34951491 -0.02       -0.106     ]"
"[ 0.09315535  0.02837573 -0.00834141 ...,  0.35551491 -0.018      -0.098     ]"
"[ 0.09415535  0.02937573 -0.00734141 ...,  0.35651491 -0.017      -0.099     ]"
"[ 0.08415536  0.01937573 -0.01734139 ...,  0.36251491 -0.027      -0.107     ]"
"[ 0.08715535  0.02237573 -0.01434141 ...,  0.35951491 -0.024      -0.106     ]"
"[ 0.08915535  0.02437573 -0.01634142 ...,  0.35351491 -0.018      -0.106     ]"
"[ 0.08615535  0.02137573 -0.01334142 ...,  0.35051491 -0.023      -0.103     ]"
"[ 0.08315535  0.01837573 -0.01634142 ...,  0.35151491 -0.026      -0.106     ]"
"[ 0.08315535  0.01837573 -0.01634141 ...,  0.35351491 -0.026      -0.108     ]"
"[ 0.08115535  0.01637573 -0.01234142 ...,  0.35751491 -0.028      -0.11      ]"
"[ 0.08115535  0.01837573 -0.00834142 ...,  0.36151491 -0.024      -0.118     ]"
"[ 0.08215535  0.01937573 -0.00734143 ...,  0.36051491 -0.025      -0.119     ]"
"[ 0.07615535  0.01337573 -0.00134143 ...,  0.35651491 -0.021      -0.121     ]"
"[ 0.07515535  0.01237573 -0.00434143 ...,  0.35751491 -0.02       -0.122     ]"
"[ 0.07515535  0.01237573 -0.00634142 ...,  0.36151491 -0.016      -0.12      ]"
"[ 0.07615535  0.01337573 -0.00734142 ...,  0.36051491 -0.017      -0.121     ]"
"[ 0.07515535  0.01237573 -0.00634143 ...,  0.36151491 -0.02       -0.12      ]"
"[ 0.07315535  0.01037573 -0.00234144 ...,  0.36151491 -0.022      -0.124     ]"
"[ 0.08115535  0.01837573  0.00365856 ...,  0.35351491 -0.02       -0.13000001]"
"[ 0.08415535  0.02137573  0.00665856 ...,  0.35051491 -0.019      -0.13300001]"
"[ 0.08115535  0.01837573  0.00365857 ...,  0.35151491 -0.02       -0.13000001]"
"[ 0.07515535  0.01237573  0.00565808 ...,  0.35351491 -0.018      -0.13400001]"
"[ 0.07115535  0.00837573  0.0016581  ...,  0.34951491 -0.022      -0.13200001]"
"[ 0.07015536  0.00737573  0.0026581  ...,  0.34651491 -0.025      -0.13100001]"
"[ 0.07915536  0.01637573 -0.0063419  ...,  0.33951491 -0.016      -0.12800001]"
"[ 0.08115536  0.01837573 -0.0083419  ...,  0.33751491 -0.014      -0.13000001]"
"[ 0.08415533  0.01737573 -0.0053419  ...,  0.33451491 -0.013      -0.13300001]"
"[ 0.08115533  0.01437573 -0.00434153 ...,  0.33151491 -0.018      -0.13800001]"
"[ 0.07515533  0.00837573  0.00165847 ...,  0.33751491 -0.022      -0.14400001]"
"[ 0.07015533  0.00337573  0.00465847 ...,  0.34251491 -0.021      -0.14900001]"
"[ 0.06615534 -0.00062427  0.00665846 ...,  0.33851491 -0.025      -0.15300001]"
"[ 0.06915533  0.00237573  0.00565849 ...,  0.33751491 -0.024      -0.15600001]"
"[ 0.07115533  0.00437573  0.00765849 ...,  0.33151491 -0.02       -0.16000001]"
"[ 0.07115533  0.00437573  0.00565851 ...,  0.32751491 -0.016      -0.16000001]"
"[ 0.07215533  0.00537573  0.00465853 ...,  0.32651491 -0.015      -0.16100001]"
"[ 0.07115533  0.00437573  0.00165854 ...,  0.32951491 -0.014      -0.16400001]"
"[ 0.07715533  0.01037573 -0.00434146 ...,  0.32351491 -0.02       -0.17000001]"
"[ 0.08215533  0.01537573 -0.00934146 ...,  0.31851491 -0.025      -0.17300001]"
"[ 0.07915533  0.01237573 -0.01234146 ...,  0.31551491 -0.026      -0.17000001]"
"[ 0.07515533  0.00837573 -0.01634146 ...,  0.31951491 -0.022      -0.17400001]"
"[ 0.07015533  0.00337573 -0.02334146 ...,  0.32651491 -0.015      -0.18100001]"
"[ 0.06815533  0.00137573 -0.02534146 ...,  0.33051491 -0.013      -0.18100001]"
"[ 0.06715533  0.00037573 -0.02634146 ...,  0.33151491 -0.012      -0.17800001]"
"[ 0.06915533  0.00237573 -0.02434146 ...,  0.32951491 -0.014      -0.17600001]"
"[ 0.07815533  0.01137573 -0.01534146 ...,  0.32051491 -0.023      -0.16700001]"
"[ 0.08115533  0.01437573 -0.01234146 ...,  0.31751491 -0.026      -0.16600001]"
"[ 0.07915533  0.01237573 -0.01434146 ...,  0.31951491 -0.024      -0.16800001]"
"[ 0.07715533  0.01037573 -0.01634146 ...,  0.31551491 -0.028      -0.16800001]"
"[ 0.07915533  0.01237573 -0.01434146 ...,  0.30951491 -0.022      -0.16600001]"
"[ 0.07715533  0.01037573 -0.01634146 ...,  0.31151491 -0.024      -0.17000001]"
"[ 0.07815533  0.01137573 -0.01534146 ...,  0.31251491 -0.025      -0.17100001]"
"[ 0.07315533  0.00637573 -0.02034146 ...,  0.30951491 -0.024      -0.17600001]"
"[ 0.06715533  0.00037573 -0.02834145 ...,  0.31551491 -0.018      -0.18000001]"
"[ 0.06615533 -0.00062427 -0.02934145 ...,  0.31651491 -0.015      -0.18100001]"
"[ 0.06015533 -0.00662427 -0.03534145 ...,  0.31851491 -0.021      -0.18700001]"
"[ 0.06515533 -0.00162427 -0.03034145 ...,  0.32151491 -0.024      -0.18400001]"
"[ 0.07115533  0.00437573 -0.02434145 ...,  0.31951491 -0.026      -0.18200001]"
"[ 0.06815533  0.00137573 -0.02734145 ...,  0.31851491 -0.029      -0.18300001]"
"[ 0.06715533  0.00037573 -0.02834145 ...,  0.31551491 -0.032      -0.18600001]"
"[ 0.06515533 -0.00162427 -0.03034145 ...,  0.31351491 -0.036      -0.18600001]"
"[ 0.06215533 -0.00462427 -0.03334145 ...,  0.30851491 -0.041      -0.18300001]"
"[ 0.06315533 -0.00362427 -0.03234145 ...,  0.31151491 -0.038      -0.18600001]"
"[ 0.06515533  0.00037573 -0.02834145 ...,  0.31951491 -0.032      -0.19000001]"
"[ 0.06815533  0.00337573 -0.02534145 ...,  0.32051491 -0.029      -0.18900001]"
"[ 0.06515533  0.00037573 -0.02834144 ...,  0.31751491 -0.032      -0.19200001]"
"[ 0.06315533 -0.00162427 -0.03034144 ...,  0.31551491 -0.03       -0.19400001]"
"[ 0.05415533 -0.01062427 -0.03734144 ...,  0.31051491 -0.027      -0.19500001]"
"[ 0.05715533 -0.00762427 -0.03434144 ...,  0.30751491 -0.024      -0.19400001]"
"[ 0.05515533 -0.00962427 -0.03634144 ...,  0.30951491 -0.022      -0.19600001]"
"[ 0.05415533 -0.01062427 -0.03734144 ...,  0.31251491 -0.021      -0.19900001]"
"[ 0.05315533 -0.01162427 -0.03834144 ...,  0.31551491 -0.02       -0.19600001]"
"[ 0.06115533 -0.00362427 -0.03034144 ...,  0.31951491 -0.028      -0.19800001]"
"[ 0.06415533 -0.00062427 -0.02734144 ...,  0.32051491 -0.031      -0.19700001]"
"[ 0.05915533 -0.00562427 -0.03034144 ...,  0.31951491 -0.036      -0.20200001]"
"[ 0.06515533  0.00037573 -0.02434145 ...,  0.32351491 -0.03       -0.20400001]"
"[ 0.07015533  0.00537573 -0.01934145 ...,  0.32651491 -0.029      -0.20700001]"
"[ 0.06715533  0.00237573 -0.01634145 ...,  0.32351491 -0.032      -0.21000001]"
"[ 0.07115533  0.00637573 -0.01434142 ...,  0.31751491 -0.034      -0.20400001]"
"[ 0.06915533  0.00437573 -0.01634139 ...,  0.31951491 -0.036      -0.20600001]"
"[ 0.07015533  0.00337574 -0.0173414  ...,  0.31851491 -0.041      -0.20500001]"
"[ 0.06715533  0.00037574 -0.0143414  ...,  0.31551491 -0.038      -0.20800001]"
"[ 0.05915533 -0.00762426 -0.0083414  ...,  0.30951491 -0.03       -0.21400001]"
